Window,Return,Omega,Min weight,Max weight,L,Time,Gap
window 0,-0.0196439,1.54951,0.01,0.349371,0.000670378,11.698,0.00985521
window 1,-0.0143387,1.55597,0.01,0.327188,0.000636704,11.614,0.00377643
window 2,0.0331032,1.55551,0.01,0.403326,0.000593745,7.654,0.00990042
window 3,-0.0407323,1.55501,0.01,0.338525,0.00060226,8.349,0.00766738
window 4,0.00616711,1.53828,0.01,0.274996,0.000594728,1.736,0.00950516
window 5,0.0218392,1.55103,0.01,0.285734,0.000644261,6.807,0.00979582
window 6,0.0041563,1.55516,0.01,0.362671,0.00065444,9.298,0.00979236
window 7,0.0295185,1.54932,0.01,0.318246,0.000677014,2.979,0.00961579
window 8,0.0444935,1.56622,0.01,0.323993,0.000675355,3.564,0.0096036
window 9,0.0263598,1.60213,0.01,0.317909,0.000687103,8.317,0.00994447
window 10,-0.0107976,1.59328,0.01,0.299223,0.000646675,10.468,0.00974064
window 11,-0.0049025,1.5881,0.01,0.290713,0.00061714,9.215,0.00961581
window 12,0.0401851,1.57499,0.01,0.349966,0.000635298,8.798,0.00902432
window 13,0.00184701,1.58754,0.01,0.354619,0.000601026,9.431,0.00990576
window 14,-0.0711333,1.59201,0.01,0.333098,0.000582644,7.778,0.00994802
window 15,0.0258077,1.56096,0.01,0.332751,0.000622795,7.23,0.0038385
window 16,0.0196072,1.60708,0.01,0.371955,0.000627077,3.016,0.00882623
window 17,-0.00544338,1.62248,0.01,0.347628,0.000646361,6.351,0.00697191
window 18,0.000499197,1.59909,0.01,0.359192,0.000651878,2.168,0.00992052
window 19,0.102809,1.59491,0.01,0.259996,0.000651308,2.046,0.00866418
window 20,-0.0296463,1.66502,0.01,0.242043,0.000649442,1.607,0.0067418
window 21,-0.0238315,1.68377,0.01,0.278253,0.000654786,1.323,0
window 22,0.0042535,1.64026,0.01,0.265501,0.000649914,1.257,0.00770735
window 23,-0.0208494,1.642,0.01,0.308995,0.000669399,1.423,0.00948083
window 24,0.0153055,1.66486,0.01,0.279764,0.000647314,1.16,0.00391993
window 25,0.0183453,1.64308,0.01,0.240336,0.000637036,1.508,0
window 26,0.0303398,1.62242,0.01,0.291295,0.000640558,2.164,0.00966266
window 27,0.0380109,1.63173,0.01,0.346552,0.000614218,7.002,0.00688629
window 28,-0.0240442,1.66191,0.01,0.396055,0.000563045,1.864,0.00675774
window 29,0.0423891,1.6384,0.01,0.306724,0.000563995,1.431,0.00756586
window 30,0.0644204,1.66466,0.01,0.354731,0.000558854,1.54,0.00963277
window 31,-0.0146286,1.74452,0.01,0.367156,0.00052419,2.33,0.00783592
window 32,-0.0321512,1.72855,0.01,0.286508,0.000543919,1.471,0
window 33,-0.0217261,1.69497,0.01,0.299207,0.000540984,0.8,0.00514269
window 34,-0.00517604,1.69061,0.01,0.251116,0.000523881,0.522,0.00919823
window 35,0.0259574,1.69028,0.0405027,0.239786,0.000532265,0.427,0.00139592
window 36,-0.000176229,1.72079,0.0108267,0.26462,0.000529798,0.627,0.000512776
window 37,-0.0217462,1.73808,0.0359576,0.236941,0.000522871,0.627,0.00209629
window 38,-0.000375735,1.70943,0.0160077,0.197537,0.000550051,0.309,0
window 39,-0.0149265,1.69059,0.0206007,0.203259,0.000542583,0.305,0
window 40,0.030422,1.6962,0.01,0.239224,0.000522367,0.505,0.00556011
window 41,0.0282666,1.70891,0.01,0.23368,0.000523446,0.838,0.0071497
window 42,0.0177149,1.71685,0.01,0.216785,0.000528486,0.511,4.96524e-05
window 43,-0.00174628,1.72805,0.011177,0.232283,0.000532229,0.661,0
window 44,-0.00494313,1.75555,0.0284574,0.212149,0.000540541,0.677,0
window 45,-0.00396631,1.75549,0.0240784,0.24225,0.000543499,0.72,0.00739518
window 46,-0.0555399,1.77046,0.01,0.338739,0.000536165,0.822,0.00791904
window 47,-0.0345944,1.71731,0.01,0.209756,0.000556544,0.769,0.0045424
window 48,0.0347993,1.67553,0.01,0.258659,0.000551432,0.963,0.00716851
window 49,-0.0172232,1.6876,0.01,0.318596,0.000557912,1.464,0.00801233
window 50,0.0381358,1.70426,0.0141953,0.253982,0.00055583,0.324,0
