Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,0.807668,576.936,0.01,0.0491023,0,601.432,32283.3
window 1,-0.0268339,684.908,0.01,0.0432542,0,601.527,26567.3
window 2,0.0129844,578.447,0.01,0.04783,0,601.607,28535.5
window 3,0.0239641,575.298,0.01,0.0528758,0,601.422,27680.7
window 4,-0.022812,646.748,0.01,0.0409333,0,601.335,23952.9
window 5,0.0367167,426.321,0.01,0.0590582,0,601.536,35964.6
window 6,-0.0176573,471.137,0.01,0.0686018,0,602.089,37269.4
window 7,0.936301,586.024,0.01,0.0551171,0,601.721,29252.4
window 8,-0.0553441,590.269,0.01,0.0583454,0,601.658,16834.2
window 9,0.0144916,435.083,0.01,0.051805,0,601.024,32221.5
window 10,-0.00669086,381.479,0.01,0.0608977,0,601.104,32272.8
window 11,-0.00060964,499.831,0.01,0.05025,0,601.612,30601.8
window 12,0.00335952,386.283,0.01,0.0590472,0,601.647,28608.8
window 13,-0.0381886,353.612,0.01,0.0698618,0,601.772,37456.1
window 14,-0.0973832,309.268,0.01,0.0747735,0,601.58,34921.7
window 15,-0.0082494,359.632,0.01,0.0612612,0,602.375,28825.9
window 16,0.0654285,351.765,0.01,0.0671661,0,601.91,29785.9
window 17,0.0343287,417.469,0.01,0.0555593,0,602.52,26581.1
window 18,0.0143547,320.868,0.01,0.0527544,0,601.832,31045.4
window 19,0.0172987,412.916,0.01,0.0782912,0,601.527,38173.9
window 20,0.013842,463.584,0.01,0.0614124,0,601.705,33859.8
window 21,0.943344,450.594,0.01,0.0475521,0,603.775,32414.4
window 22,0.023058,443.289,0.01,0.0773516,0,601.703,35308.8
window 23,0.0202681,416.201,0.01,0.0471815,0,601.615,39069.1
window 24,0.0211483,413.869,0.01,0.0648526,0,601.6,37195.8
window 25,0.0383672,370.331,0.01,0.0646577,0,603.391,36871.2
window 26,0.00785559,519.525,0.01,0.0581975,0,601.688,29187
window 27,0.0271213,581.257,0.01,0.0673388,0,601.636,26237.2
window 28,0.0245698,486.021,0.01,0.0569061,0,601.449,30183.1
window 29,0.00173735,392.434,0.01,0.0480122,0,601.821,35871.7
window 30,0.0101178,549.781,0.01,0.0448488,0,601.465,16520.5
window 31,-0.0270291,310.696,0.01,0.0666593,0,601.967,46748.2
window 32,0.0157842,434.197,0.01,0.0562243,0,601.682,29077.1
window 33,-0.0141402,363.904,0.01,0.0635002,0,602.034,34361.6
window 34,-0.0106978,429.067,0.01,0.0541667,0,601.632,31130.1
window 35,0.0250171,464.7,0.01,0.0529376,0,601.944,25885.5
window 36,-0.000181516,348.829,0.01,0.0613756,0,601.716,37945.5
window 37,0.00543264,377.931,0.01,0.0507043,0,601.866,32103.2
window 38,0.0360642,436.017,0.01,0.0601201,0,603.751,29108.2
window 39,0.00490563,348.677,0.01,0.0623118,0,603.883,37018
window 40,0.0201712,483.389,0.01,0.0566968,0,601.511,30218.9
window 41,0.0237306,427.935,0.01,0.0598865,0,601.196,33847.3
window 42,-0.00241522,500.111,0.01,0.0514126,0,601.722,26820.4
window 43,0.0439278,435.148,0.01,0.0524456,0,601.782,29088.7
window 44,0.0176117,411.147,0.01,0.0563208,0,601.727,31576.5
window 45,0.0076477,357.486,0.01,0.0396672,0,601.802,35751.7
window 46,0.0046589,428.516,0.01,0.0506497,0,601.262,29479.6
window 47,0.0188705,439.205,0.01,0.0497512,0,601.674,16857.4
window 48,-0.00274135,393.28,0.01,0.060335,0,602.112,32315.7
window 49,-0.0242889,353.279,0.01,0.0556031,0,601.669,34861.9
window 50,0.0109404,330.306,0.01,0.0514488,0,601.516,37162.3
