Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,-0.0670208,6.09099,0.01,0.167747,2.70231e-05,600.224,1.82903
window 1,0.0759516,5.7387,0.01,0.173736,3.05117e-05,600.234,1.86659
window 2,0.0321357,5.89614,0.01,0.179216,2.99354e-05,956.535,2.17776
window 3,0.0229253,5.86347,0.01,0.160317,2.98464e-05,600.284,1.82963
window 4,0.0274429,5.86514,0.01,0.178588,2.97734e-05,600.229,2.01387
window 5,-0.0194679,5.8992,0.01,0.169442,2.98287e-05,600.324,1.86671
window 6,0.0405338,5.79096,0.01,0.164741,3.03316e-05,600.361,0.985482
window 7,0.0194637,5.83386,0.01,0.161484,3.00231e-05,600.449,0.880751
window 8,0.0123881,5.89324,0.01,0.171433,3.04363e-05,600.359,1.41179
window 9,-0.00353685,5.96285,0.01,0.156452,2.94893e-05,600.625,1.03179
window 10,0.0203427,5.97192,0.01,0.166955,2.93493e-05,600.43,0.948201
window 11,0.033089,6.00088,0.01,0.173971,2.53108e-05,600.483,0.730749
window 12,0.012427,6.0574,0.01,0.174422,2.47978e-05,600.565,0.597908
window 13,0.0433489,6.10941,0.01,0.157753,2.42666e-05,600.488,0.724115
window 14,-0.0576109,6.21889,0.01,0.16729,2.12852e-05,600.496,1.60083
window 15,-0.0641319,5.84049,0.01,0.145828,2.32697e-05,600.434,1.54299
window 16,0.0931609,5.51834,0.01,0.141382,2.77928e-05,600.471,1.15074
window 17,0.0689391,5.63656,0.01,0.131569,2.86317e-05,600.43,1.42245
window 18,-0.0201032,5.69093,0.01,0.134021,2.85388e-05,600.596,1.61084
window 19,0.114339,5.73863,0.01,0.0976213,2.71892e-05,600.53,1.58573
window 20,0.0732694,5.8262,0.01,0.0973707,2.71815e-05,600.48,1.62935
window 21,-0.0224655,5.89467,0.01,0.0977955,2.67922e-05,600.597,2.09761
window 22,-0.0164449,5.75693,0.01,0.099163,2.73814e-05,600.373,1.56834
window 23,0.0708257,5.64567,0.01,0.0944329,2.77695e-05,600.454,2.11075
window 24,0.029998,5.723,0.01,0.0948976,2.69121e-05,600.449,2.19547
window 25,-0.0275982,5.75636,0.01,0.113067,2.67903e-05,600.436,2.06247
window 26,-0.0107214,5.64202,0.01,0.116653,2.99951e-05,600.553,1.69289
window 27,0.0517127,5.58441,0.01,0.140737,3.10649e-05,600.613,1.71065
window 28,0.0416469,5.58443,0.01,0.122223,3.14662e-05,600.584,1.89914
window 29,-0.0130026,5.62969,0.01,0.138251,3.13188e-05,600.48,2.17461
window 30,0.0205135,5.56701,0.01,0.122243,3.10533e-05,600.538,1.64009
window 31,0.0393573,5.57608,0.01,0.123569,3.13549e-05,600.526,1.57008
window 32,0.0247805,5.75397,0.01,0.0855112,3.15619e-05,600.679,1.83953
window 33,-0.0464965,5.75848,0.01,0.0948675,3.1074e-05,600.617,1.86349
window 34,0.103453,5.53523,0.01,0.100384,3.48576e-05,600.514,1.55737
window 35,-0.0219917,5.58953,0.01,0.0989933,3.18375e-05,600.422,1.38786
window 36,0.0612728,5.49371,0.01,0.101519,3.30511e-05,600.403,1.4736
window 37,-0.0842129,5.58967,0.01,0.110325,3.31743e-05,600.594,1.23333
window 38,-0.02299,5.17989,0.01,0.11632,3.86113e-05,600.504,1.56534
window 39,0.052835,5.15331,0.01,0.118553,4.14192e-05,600.46,0.874231
window 40,-0.0675941,5.49806,0.01,0.1098,3.62624e-05,600.44,1.20431
window 41,-0.00232528,5.35636,0.01,0.143367,3.24408e-05,600.507,1.22621
window 42,-0.0493615,5.48359,0.01,0.12789,3.05504e-05,600.452,1.71558
window 43,0.100253,5.25635,0.01,0.127421,3.31929e-05,600.417,1.67471
window 44,-0.0403898,5.38208,0.01,0.0926655,3.17078e-05,600.439,1.00432
window 45,-0.0570451,5.20154,0.01,0.0832051,3.30349e-05,600.482,1.28975
window 46,0.0833433,4.93574,0.01,0.100499,3.77525e-05,600.41,1.09233
window 47,0.0218241,5.04445,0.01,0.100485,3.63513e-05,600.517,1.10328
window 48,-0.0719126,5.04735,0.01,0.0988385,3.54519e-05,600.427,1.02257
window 49,0.0231212,4.79573,0.01,0.0842933,3.9007e-05,600.458,0.800682
window 50,-0.01575,4.77022,0.01,0.0866709,4.10029e-05,600.435,1.01934
window 51,0.0341653,4.71487,0.01,0.0971774,4.11861e-05,600.337,1.06294
window 52,0.00299008,4.67478,0.01,0.0870648,4.14567e-05,600.424,1.33488
window 53,-0.0145879,4.66988,0.01,0.108958,4.0387e-05,600.494,1.33727
window 54,0.0582713,4.63365,0.01,0.0907543,4.28687e-05,600.427,1.1395
window 55,0.00649611,4.65915,0.01,0.0723214,3.98651e-05,600.453,1.1446
window 56,-0.0198846,4.66279,0.01,0.0748605,4.02111e-05,600.436,1.10751
window 57,-0.0449068,4.57967,0.01,0.0975906,4.00075e-05,600.53,1.2004
window 58,-0.0422223,4.43764,0.01,0.0792175,4.22205e-05,600.414,0.641812
window 59,0.0736233,4.33729,0.01,0.103329,4.29135e-05,600.386,0.701905
window 60,0.0376094,4.37525,0.01,0.0979064,4.23961e-05,600.359,0.757792
window 61,-0.00233478,4.38007,0.01,0.112381,4.33757e-05,600.709,0.915864
window 62,0.0354393,4.38038,0.01,0.108169,4.22299e-05,600.644,0.818774
