Window,Return,Omega,Min weight,Max weight,L,Time,Gap
window 0,-0.0108835,41.9275,0.0264792,0.240853,0.0211531,2.641,0
window 1,-0.00759914,41.9183,0.0264792,0.240853,0.0211531,2.192,0
window 2,0.0198247,40.4344,0.0220169,0.249398,0.0209329,2.456,0.00794719
window 3,-0.0239432,40.4782,0.0220169,0.249398,0.0209329,1.795,0
window 4,0.00143838,40.2208,0.0214071,0.247116,0.0209979,2.673,0
window 5,0.0140433,41.0603,0.0218605,0.274349,0.0209593,1.138,0
window 6,-0.00106259,40.2224,0.0194057,0.273088,0.0208178,1.34,0
window 7,0.00111466,40.239,0.0197958,0.281843,0.0208178,1.298,0.00504462
window 8,0.00219954,40.1612,0.0194057,0.273088,0.0208178,1.36,0
window 9,-0.00858163,40.1252,0.0194057,0.273088,0.0208178,0.84,0
window 10,-0.00336718,39.828,0.0194057,0.273088,0.0208178,0.744,0
window 11,0.00437516,38.3549,0.0170728,0.280318,0.0205489,1.639,0
window 12,0.00189908,38.3008,0.0170728,0.280318,0.0205489,0.73,0
window 13,0.00867165,38.2358,0.0175959,0.280129,0.0205489,0.711,0
window 14,-0.0725218,38.2336,0.0166085,0.280502,0.0205277,0.722,0
window 15,0.0205237,35.8186,0.0432864,0.243495,0.0215914,0.72,0
window 16,-0.00704736,34.4878,0.0511551,0.240099,0.0213194,0.728,0
window 17,0.0157446,35.1155,0.0187779,0.326854,0.0208635,0.795,0.00363428
window 18,-0.0242323,34.9773,0.0168895,0.32546,0.0208635,0.737,0.00152674
window 19,0.0597087,37.22,0.0102167,0.338212,0.0212375,1.34,0
window 20,-0.00806698,37.1127,0.01,0.333534,0.0211501,0.741,0
window 21,-0.00064011,36.607,0.0242459,0.317884,0.0205928,1.167,0
window 22,-0.0120268,36.5994,0.0182561,0.322499,0.0205928,1.255,0.00702727
window 23,-0.0058112,37.1025,0.0206349,0.320071,0.0206797,1.728,0.00506314
window 24,0.0313179,37.4128,0.0112964,0.326953,0.0203329,1.396,0.00170267
window 25,0.000765605,37.0275,0.01,0.312122,0.0203329,1.578,0.00817507
window 26,0.00411988,36.5871,0.0112964,0.326953,0.0203329,1.567,0.00546969
window 27,0.00538098,36.5486,0.0131831,0.321444,0.0203329,1.586,0.006701
window 28,0.0108902,36.6065,0.01,0.312588,0.0203329,1.997,0.00958883
window 29,0.0165147,37.9362,0.0206275,0.317324,0.0200869,1.726,0
window 30,0.0270539,37.8534,0.0206275,0.317324,0.0200869,1.728,0
window 31,0.0179837,42.3505,0.0149644,0.305154,0.0191499,0.836,0
window 32,0.00314856,42.5133,0.0149644,0.305154,0.0191499,0.809,0
window 33,0.00468124,42.3515,0.0149644,0.305154,0.0191499,0.815,0
window 34,0.0060807,42.1989,0.0193877,0.295903,0.0191191,1.136,0.00960423
window 35,0.0150781,42.3228,0.0110382,0.310516,0.0190414,0.727,0
window 36,0.0211775,42.4315,0.0110382,0.310516,0.0190414,0.734,0.00352415
window 37,0.00434814,40.2794,0.0118904,0.309754,0.0187538,0.715,0
window 38,-0.000349351,39.9419,0.0118904,0.309754,0.0187538,0.733,0
window 39,-0.00454771,39.8508,0.0118904,0.309754,0.0187538,0.742,0
window 40,-0.008873,39.8551,0.0118904,0.309754,0.0187538,0.724,0
window 41,0.00782639,39.7934,0.0118904,0.309754,0.0187538,0.745,0
window 42,0.0139576,39.6817,0.0118904,0.309754,0.0187538,0.752,0
window 43,-0.0240356,39.7604,0.0118904,0.309754,0.0187538,0.72,0
window 44,-0.00491652,42.1485,0.0132816,0.304724,0.0185917,1.24,0.0075381
window 45,-0.00567177,40.9982,0.0139834,0.300763,0.0184653,0.72,0.00674739
window 46,-0.0315139,40.2636,0.0145016,0.29843,0.0183836,1.37,0
window 47,-0.00824279,40.2617,0.0233591,0.27091,0.0187436,1.213,0
window 48,0.0196708,39.9422,0.0233591,0.27091,0.0187436,1.265,0
window 49,-0.00851428,40.0457,0.0233591,0.27091,0.0187436,0.868,0
window 50,-0.0026607,40.0427,0.0233591,0.27091,0.0187436,1.235,0.00776166
