Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,0.0149967,2.04916,0.01,0.10592,0.00220099,301.042,21.4731
window 1,-0.00614874,1.94835,0.01,0.0700684,0.00228185,301.325,29.3709
window 2,0.00351259,2.31322,0.01,0.0912698,0.00219181,301.642,8.08994
window 3,0.0432181,2.02092,0.01,0.0966344,0.00212184,300.926,23.2527
window 4,-0.00366389,2.06991,0.01,0.0800614,0.00219173,301.23,21.0532
window 5,0.0220349,2.22245,0.01,0.0959619,0.00212394,301.422,11.7617
window 7,0.0689857,1.44022,0.01,0.0882028,0.00206246,301.149,72.4864
window 9,0.0188659,1.91777,0.01,0.0818651,0.00203437,301.351,26.3416
window 10,0.00877726,1.6604,0.01,0.113462,0.00209994,300.76,47.0601
window 11,-0.000706181,1.97661,0.01,0.113203,0.00207899,301.648,24.7303
window 12,-0.00342472,1.6525,0.01,0.0782905,0.00206039,301.194,47.0915
window 14,-0.0639891,0.00290701,0.01,0.253388,-0.0335409,301.653,83646.4
window 16,0.0193127,2.29532,0.01,0.0913934,0.00189242,401.482,9.52729
window 17,0.0231341,1.91898,0.01,0.105504,0.00194619,400.977,31.3851
window 18,-2.14E-05,1.87522,0.01,0.0647319,0.00206551,400.843,36.158
window 19,-0.00602305,2.15115,0.01,0.0664819,0.00213975,402.099,20.164
window 20,0.00397349,2.03474,0.01,0.0804076,0.00209319,401.11,26.0698
window 21,0.1281,0,0.01,0.31,-0.30813,400.986,2.52E+12
window 22,0.0103623,1.99856,0.01,0.0645628,0.00208463,401.503,26.877
window 23,0.0188148,1.61551,0.01,0.104224,0.00208512,401.056,54.9836
window 24,0.0327351,7.62E-05,0.01,0.175316,-0.149656,401.673,3.26E+06
window 25,0.0550287,1.97152,0.01,0.07786,0.00204677,400.803,25.3873
window 26,0.0268579,1.73504,0.01,0.158119,0.0020217,402.143,45.3275
window 27,0.0445503,1.86495,0.01,0.0661125,0.00204024,401.915,35.8003
window 29,0.0223074,2.2036,0.01,0.0907647,0.00219786,401.62,14.9952
window 31,-0.0263266,1.68997,0.01,0.0721076,0.00222216,401.556,49.7107
window 32,0.0112699,1.12544,0.01,0.0617012,0.00208344,402.106,122.885
window 33,0.0102784,1.9824,0.01,0.0864591,0.00215904,401.624,28.6616
window 34,-0.0296504,0,0.01,0.31,-0.30813,402.394,2.52E+12
window 35,0.0188127,1.85532,0.01,0.138407,0.00197084,402.233,35.5188
window 36,-0.00271942,2.25936,0.01,0.0964965,0.00195187,402.53,13.7752
window 37,0.0118453,2.22433,0.01,0.114466,0.00191667,401.254,14.3551
window 38,0.0478702,2.10295,0.01,0.115444,0.00192041,401.193,23.646
window 39,0.0139546,1.4645,0.01,0.128648,0.00201792,401.743,72.0997
window 40,0.0174128,2.07005,0.01,0.0774131,0.00210034,401.5,20.8818
window 41,0.0155342,1.98901,0.01,0.111019,0.0021781,401.985,26.6816
window 42,0.00272559,2.17916,0.01,0.110049,0.00225351,401.421,16.035
window 43,0.0313961,2.07953,0.01,0.0945466,0.0021898,401.206,21.5218
window 44,0.0190041,1.17598,0.01,0.0767545,0.00222924,401.304,115.172
window 45,0.000789208,2.12103,0.01,0.107843,0.0022112,402.008,16.7213
window 46,0.00614014,2.06741,0.01,0.100725,0.00216444,401.443,19.5145
window 47,-0.00111041,1.65372,0.01,0.0730998,0.0020561,400.729,48.134
window 48,-0.00535331,1.95145,0.01,0.0972532,0.00197479,403.511,22.2875
window 49,-0.00683449,0.00106599,0.01,0.183019,-0.070315,401.162,221789
window 50,-0.00350576,2.03995,0.01,0.0834803,0.00186109,401.365,14.7896
,0.013624972,,,,,,
