Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,-0.0737989,100.055,0.005,0.145554,0.034284,317.616,0.00967454
window 1,0.0578635,100.317,0.005,0.14148,0.034284,290.493,0.00992835
window 2,0.0630069,105.869,0.005,0.122447,0.03492,600.544,0.184498
window 3,0.0294027,102.888,0.005,0.148892,0.0353366,176.948,0.00967875
window 4,0.0418859,104.636,0.005,0.149586,0.0354589,440.644,0.00993252
window 5,-0.0449072,105.844,0.005,0.138058,0.0355625,592.39,0.00999533
window 6,0.0656428,106.68,0.005,0.147863,0.0355625,88.491,0.00996378
window 7,0.0219038,105.687,0.005,0.1613,0.0362999,265.141,0.0099098
window 8,0.00519655,105.256,0.005,0.164535,0.0362999,285.531,0.00993233
window 9,0.0189327,105.533,0.005,0.165139,0.0362999,112.515,0.00981195
window 10,0.00768467,105.052,0.005,0.159135,0.0362999,98.398,0.00998813
window 11,0.0145226,84.4316,0.005,0.138998,0.0341328,399.403,0.00999111
window 12,0.0359346,83.787,0.005,0.140063,0.0340943,421.551,0.00999599
window 13,0.037687,84.2452,0.005,0.125497,0.0342186,600.354,0.0476832
window 14,-0.0741353,84.5968,0.005,0.129336,0.0342434,600.362,0.171922
window 15,-0.0945928,85.6072,0.005,0.141656,0.0342155,600.429,0.355868
window 16,0.108167,84.3781,0.005,0.137294,0.0338766,600.29,0.288325
window 17,0.0577577,82.4419,0.005,0.15142,0.0355313,600.416,0.42749
window 18,-0.0194867,84.9108,0.005,0.192714,0.0360379,600.386,0.040964
window 19,0.0535744,88.1526,0.005,0.16657,0.0357427,600.402,0.0617841
window 20,0.0219918,91.3836,0.005,0.154131,0.0361376,600.463,0.653037
window 21,-0.0117611,91.2985,0.005,0.146392,0.0361376,600.307,0.628886
window 22,-0.0136942,89.8864,0.005,0.177083,0.0359352,600.375,1.00782
window 23,0.0802604,89.3478,0.005,0.172554,0.0358395,600.472,1.09825
window 24,0.0432033,82.6602,0.005,0.130675,0.0358758,600.402,1.14139
window 25,-0.0372107,82.3185,0.005,0.115769,0.035883,600.365,0.711128
window 26,-0.0104532,82.4706,0.005,0.122105,0.035883,600.352,0.696917
window 27,0.0826692,78.1981,0.005,0.103823,0.0350302,600.375,0.790421
window 28,0.0181968,79.5018,0.005,0.0812088,0.0363974,600.415,0.519551
window 29,0.0310192,80.3351,0.005,0.0851414,0.0365607,600.388,0.448707
window 30,0.0271248,80.3568,0.005,0.0874877,0.0365747,600.378,0.512528
window 31,0.0163195,80.3775,0.005,0.0921096,0.0365747,600.407,0.495511
window 32,0.00835445,80.2843,0.005,0.0978214,0.0365747,600.373,0.478059
window 33,-0.0348126,80.1643,0.005,0.0867533,0.0365747,600.336,0.470567
window 34,0.0446722,80.4965,0.005,0.0948797,0.0365747,600.412,0.426652
window 35,-0.0281706,78.3321,0.005,0.0777581,0.0361985,600.292,0.531225
window 36,0.0702242,78.4788,0.005,0.0867358,0.0361985,600.423,0.509003
window 37,-0.0244458,77.7875,0.005,0.108009,0.0370425,600.583,0.53805
window 38,-0.0175472,77.8995,0.005,0.111796,0.0370425,600.411,0.550297
window 39,0.0345958,77.9911,0.005,0.112333,0.0370425,600.391,0.492293
window 40,-0.0150153,79.9972,0.005,0.110589,0.0374419,600.343,0.639302
window 41,0.0156994,79.9126,0.005,0.108292,0.0374363,600.408,0.610015
window 42,-0.0344561,74.495,0.005,0.109019,0.0361855,600.39,0.497101
window 43,0.0551055,74.7581,0.005,0.0987014,0.0361854,600.389,0.389429
window 44,-0.0156852,76.4556,0.005,0.13501,0.0365115,600.334,0.564956
window 45,-0.0493117,76.8339,0.005,0.133756,0.0364958,600.369,0.556103
window 46,0.0884531,77.1717,0.005,0.13514,0.0364958,600.423,0.547751
window 47,0.0588309,78.7055,0.005,0.100837,0.0375454,600.364,1.08996
window 48,-0.0317941,81.1993,0.005,0.126916,0.0379398,600.424,1.04038
window 49,0.0376087,79.4759,0.005,0.107967,0.0379398,600.351,1.08461
window 50,-0.0318228,82.7656,0.005,0.113818,0.0374021,600.393,0.317759
window 51,0.0187367,80.8517,0.005,0.121212,0.0372418,600.379,0.0773403
window 52,0.029929,81.934,0.005,0.121292,0.0369917,600.362,0.209629
window 53,-0.0490605,80.5653,0.005,0.0988253,0.0370062,600.329,0.243337
window 54,0.0374958,80.7152,0.005,0.0942842,0.0370059,600.364,0.257397
window 55,0.0231807,83.3704,0.005,0.0973616,0.037414,600.372,0.327778
window 56,-0.0371985,83.7143,0.005,0.0974005,0.0374343,600.365,0.271115
window 57,-0.0446076,84.0711,0.005,0.0948298,0.0374319,600.323,0.22082
window 58,-0.0228153,85.2062,0.005,0.104964,0.0374269,421.517,0.00999901
window 59,0.08006,85.3307,0.005,0.109101,0.0374249,600.281,0.251752
window 60,0.0421546,83.2792,0.005,0.133232,0.0383042,600.378,0.358595
window 61,0.0129414,83.0201,0.005,0.0900344,0.0383803,600.302,0.291565
window 62,-0.00159307,83.494,0.005,0.117037,0.0383803,600.216,0.347121
